 0.00000000e+00 8.99502332e-02
 1.00000000e-01 8.89975021e-02
 2.00000000e-01 8.63112638e-02
 3.00000000e-01 8.23285244e-02
 4.00000000e-01 7.75779555e-02
 5.00000000e-01 7.25281954e-02
 6.00000000e-01 6.75174202e-02
 7.00000000e-01 6.27517755e-02
 8.00000000e-01 5.83355839e-02
 9.00000000e-01 5.43060915e-02
 1.00000000e+00 5.06612048e-02
 1.10000000e+00 4.73782576e-02
 1.20000000e+00 4.44255079e-02
 1.30000000e+00 4.17686731e-02
 1.40000000e+00 3.93743788e-02
 1.50000000e+00 3.72117965e-02
 1.60000000e+00 3.52532702e-02
 1.70000000e+00 3.34744045e-02
 1.80000000e+00 3.18538872e-02
 1.90000000e+00 3.03731961e-02
 2.00000000e+00 2.90162716e-02
 2.10000000e+00 2.77691959e-02
 2.20000000e+00 2.66198987e-02
 2.30000000e+00 2.55578949e-02
 2.40000000e+00 2.45740572e-02
 2.50000000e+00 2.36604206e-02
 2.60000000e+00 2.28100156e-02
 2.70000000e+00 2.20167261e-02
 2.80000000e+00 2.12751701e-02
 2.90000000e+00 2.05805971e-02
 3.00000000e+00 1.99288023e-02
